,ID,timestamp,checkpoint,mistakes,preparation,office_hours,semester
19,38687,2021-02-17 10:38:00,1,I dropped some negative signs on the first questions.,I will watch videos. I was actually advised to watch a video for trig on the second question.,No,Sp21 - 001
20,18832,2021-02-19 08:41:00,1,"When I was doing checkpoint 1, I misunderstood the concept of the average rate of change. An average rate of change of 1 at one point and 3 and other point do not necessarily result in an average of 2, it's contingent on the actual points at which they're at, because the rate of change at those particular instances doesn't necessarily represent the rate of change of the points around them to much.","I'd like help understanding the rate of change over intervals of time, specifically more so when I have two rates of change over two separate points and I need to find an average rate of change between the two of them. I will be attending Dr. Ford's office hours, as well as re-reading the material and focusing more on the problems. I know that I understand how to do the math, I just have difficulty grasping the concept of why I'm doing the math, or why I need to take certain steps.",Yes,Sp21 - 001
21,99444,2021-02-19 12:29:00,1,"I misunderstood how to utilize the graph in part B in order to solve the problem. I also has a slight mistake in part a, but that was probably just me going to quickly and missing a number.",Talked through the problem after class on Friday and I will take a bit more time on my retry.,No,Sp21 - 001
22,83943,2021-03-01 13:45:00,1,I had some confusion with my graph for the second part of the checkpoint and the comment I received helped clear that up.,I have read through the section on the book that the checkpoint is on and talked to my friend who has already taken Calc I and II to get further explanation.,No,Sp21 - 001
23,62252,2021-03-07 12:36:00,1,"The third part asked for an average rate of change of -2. Your graph increases, rather than decreasing.","I will revise my pdf of the checkpoint and figure out what mistake I made, then practice on those type of questions.",No,Sp21 - 001
24,15531,2021-02-15 15:32:00,1,My misunderstanding came from not fully thinking through the problem. i was only thinking about two points on a curved line and didn't think about a function that could have a gap between the lines.,After reading through the feedback as i was able to go back to the book at figure out where i went wrong.,No,Sp21 - 001
25,65004,2021-02-21 01:23:00,2,I don't understand how to properly factor out the bottom to not equal zero,I will schedule an office hour to help me with what I am confused with so I can fix my mistake,Yes,Sp21 - 001
26,75683,2021-02-21 12:35:00,2,"In part 2, I did my math wrong and tried simplifying the problem and not just solving it out.",not taking the short way,No,Sp21 - 001
27,57894,2021-02-23 22:13:00,2,I was confused with the table; understand now that I need to use points closer to specific number that the limit is approaching.,I will re-read notes in notebook and look back over specific section in textbook to grasp a better understanding of this specific section,No,Sp21 - 001
28,58850,2021-03-01 22:42:00,2,"The numbers that I used in the table needed to be smaller for me to able to get a more accurate value. For the second part I wasn't sure what the question meant by "" simplify the limit""",I will go over my previous work and the group spreadsheet and I also ask questions where I'm confused,Yes,Sp21 - 001
29,62252,2021-04-02 20:30:00,2,"I made the mistake of saying the limit of f(x) at the point x=0 is 1, when the value at that point does not exist because both lines go through x=0. I also made the mistake of drawing the graph where lim x-->0 f(x) and f(0) agree, rather than disagree.","I will make sure to understand that if two point are under the same x-value, than the limit of that value does not exist. I will also make sure to sketch a function of two lines where the values of the two functions disagree (x-values are the same/y-values are different).",No,Sp21 - 001
30,46516,2021-04-25 19:15:00,2,"When estimating the limit using points, I used points much too far a part to accurately find the limit. Instead of choosing points one whole number away, I could use some much closer together.",It has been a long time so I will look back and reread chapter.,No,Sp21 - 001
31,68658,2021-02-20 11:08:00,2,simplifying an equation,I will correct the checkpoint and read over 1.2 again,No,Sp21 - 001
32,36585,2021-02-20 15:01:00,3,I made a simple algebra mistake and cancelled out a term that should have been a 1.,I will pay more attention the the algebraic rules and make sure to double check my work.,No,Sp21 - 001
33,16144,2021-02-23 16:56:00,3,"I have been used to finding the derivative using the other way, and not by using limits so I just wasn't ready when I took this checkpoint. Honestly I just wrote random stuff because I knew I wasn't going to understand it the first try.",I am going to do practice problems to find the derivative using the limit definition.,No,Sp21 - 001
34,13358,2021-02-25 21:00:00,3,"Simple algebra mistake, lost an h^2 which resulted in me having an extra variable at the end.","I will look back over the activities and the webworks. Last time, I was feeling confident and just went for it.",No,Sp21 - 001
35,99444,2021-02-26 12:16:00,3,"It doesn't count if I don't write the limit at each step, I didn't realize that I needed to show that in my work except at the first and/or last step.",Take the comment made on the Checkpoint into account and adjust accordingly,No,Sp21 - 001
36,57725,2021-03-04 18:16:00,3,I did not write limits in the problem,I will meet with Dr. Ford.,Yes,Sp21 - 001
37,26815,2021-03-30 22:47:00,3,"I made an algebraic error, and when I was factoring out the h for computing the derivative of the function, I didn’t leave a 1 behind the problem","I will read the section again on how to compute derivative using the proper formula, and review what should be done to h when factoring",No,Sp21 - 001
38,62252,2021-04-12 10:08:00,3,"I did not use the limit definition when finding the derivative f'(x). Instead, I used the power rule find both of the derivatives.",I will make sure to use the limit definition when finding the derivative of an equation.,No,Sp21 - 001
39,26815,2021-04-26 10:17:00,3,"I tried to reattempt it, but I did not include a limit in the limit definition when getting the solution. I should have included the limit as x approaches zero in the specific problem.","I will include the limit in the definition, otherwise, I have a good understanding of the Algebra involved with figuring out the problem.",No,Sp21 - 001
40,96431,2021-04-26 11:14:00,3,I had simple algerbra errors where I just screwed up.,I will look back at my algebra mistake and do it properly.,No,Sp21 - 001
41,18832,2021-04-27 14:23:00,3,"The main misunderstanding I had was the use of the limit definition. Also in this instance, I used a as a variable, but I confused it with a nine because of my sloppy handwriting. I'll be sure to write more carefully this time around.","I believe that I fully understand how to use the limit definition now, whereas at this point in time I had not fully understood it yet. This time around, I'll be more careful when I write my variables and numbers.",No,Sp21 - 001
42,44661,2021-04-27 20:05:00,3,I did everything well except when I expanded 3*(x+h)^2 I wrote X^2+3xh+h^2 but It should have been 3x^2+6xh+h^2,I will make sure to take time to review my answer and this time write it out to make sure I expanded it correctly,No,Sp21 - 001
43,38873,2021-04-28 22:55:00,3,I tried t cancel out an equation.,"I went back and reviewed the limit definition, and have been working with derivatives long enough now to the where I fully grasp what we are trying to do when we want a derivative.",No,Sp21 - 001
44,83943,2021-03-18 08:51:00,3,"1) Simple mistake with the second part of the problem about the average rate of change of a function over a zero over the interval.
 3) Simple mistake when expanding the numerator. Also need to write out the limit at each step.
 4) Using the limit definition for the second part of the problem.",1) I will just review the section in the book to make sure I understand what I am doing.,No,Sp21 - 001
45,17830,2021-02-21 14:54:00,3,I needed to write out the limit definition as well as cancel out my h's,I will finish my work,No,Sp21 - 001
46,57725,2021-02-21 20:45:00,3,I did not do the algebra correctly in either problem.,I went on a tutoring session to go over some of the problems,No,Sp21 - 001
47,38687,2021-02-21 23:37:00,3,I basically didn't know how to evaluate the function. I do want to say that I ran into some personal problems outside of this class when I started it which made me very stressed.,"I will look at videos, or make an appointment with the teacher to get squared out.",Yes,Sp21 - 001
48,47088,2021-02-22 09:45:00,3,I just forgot to take the limit. I didnt finish the problem.,take the limit. Finish the problem,No,Sp21 - 001
49,78555,2021-02-26 08:20:00,3,"I did not use the limit definition throughout the entire problem, part b in particular. I also did not use my variables consistently, which I thought I was doing to make better sense of the problem. I see now how that is incorrect and I should not do that.",review webwork and group work activities involving the derivitive definition.,No,Sp21 - 001
50,18832,2021-03-02 13:03:00,3,"After looking at the review of the checkpoint, I realized that I confused one of my a's for a 9, so instead of doing 2a+1, I did 29+1 and go 30, which is obviously not right.",I will write clearer and take more time to proof my work and make sure that I'm doing the problem right.,No,Sp21 - 001
51,31085,2021-04-20 13:28:00,3,I made an algebra mistake is what I was told but looking back on it I think I understand more of what I am looking at. I put everything inside the parenthesis when I should have left out the 3 and then plugged in (x+g) to get (3(-3+h)-5)-[3(-3)-5] all over h then finished computing from there you end up with the a lim at the point x=-3 is 3,I prepared by watching the videos available on Moodle I did not do that the first time. The first time I skimmed the text and paid attention in class and did group work. I found the videos to be very helpful.,Yes,Sp21 - 001
52,83943,2021-03-04 10:40:00,3,"3- I think I just started with the wrong set up of the equation so it messed up all of my algebra. 
 4- I messed up the third part of the checkpoint where I was supposed to be talking about instantaneous rate of change.",I am meeting with you and looking over the book and the problems that we have done as group work.,Yes,Sp21 - 001
53,44661,2021-03-05 09:03:00,3,"In Checkpoint 3, I should have remembered that the limit definition sets h=0 so I should have received 2x and not 2x+h. 
 In Checkpoint 4, I should have used the limit definition to determine the velocity of the function, because the velocity can be found through the slope of the tangent line which is given by f'(x).","I will run over the definitions again to make sure I understand and run through some of the Webwork practices to make sure I understand other wording that I didn't catch the first time. Prior to taking the quiz I assumed I understood all the different definitions and did not review them before taking the checkpoints, I instead glanced over the group work activities.",No,Sp21 - 001
54,44661,2021-04-14 10:56:00,3,"(3) I should have remembered that because I was using the limit definition that I needed to write the limit when I analyzed the problem.
 (4) I mixed the idea that temperature is equal to the function of f(q) which means that Temperature will change because it is dependent on the change of the function.
 (6) I did not really understand that a function of xis continuous at x=a if f has a limit as x approaches a and is equal to its function value at x=a and that the function of f(x)=f(a) as the limit of f approaches x
 (11) I wasn't familiarized with the derivative of log_a(x) (which=1/xlna) and the tangent (= sec^2)
 (12) I found the slope but forgot to plug it back in to determine the equation of the tangent line
 (13)I forgot that the derivative of a constant being added or subtracted to x is 0, which gave me the wrong denominator and I should have written the second limit as a quotient by writing it as a positive exponent instead.","For each of the attempts I will make sure to run through the ""cheat"" sheets and rewatch the videos attached to Moodle to make sure I understand each of these checkpoints correctly. I will also double check with the Calc tutors if I have any questions.",No,Sp21 - 001
55,42371,2021-02-28 23:03:00,4,"I understand questions 2-4, but question 1 about finding the ball's greatest velocity confused me. I am unsure of how to determine the highest point of velocity for an object.","I will review textbook pages on velocity and take additional notes regarding velocity problems. I have taken notes, but adding to what I have will help expand my knowledge to help do better on the next attempt.",No,Sp21 - 001
56,57725,2021-03-04 18:17:00,4,I did not read over the whole problem thoroughly.,"I am going to try to review with Dr. Ford, if not I will visit tutor hours",Yes,Sp21 - 001
57,29436,2021-03-10 19:37:00,4,"I had some trouble on the third question. This is because I knew the meaning of the value had something to do with rate of change, but the fact that there was a change in temperature confused me.","I will study all the concepts for the checkpoint in more detail, and especially problems like the third question.",No,Sp21 - 001
58,57894,2021-03-23 20:08:00,4,I didn't think of looking at the absolute value of the numbers-- got confused and used the positive # instead of the neg even tho the neg has a greater absolute value,re-look at notes/ textbook -- think of absolute value if applicable and also take your comments on the previously turned in checkpoint into consideration,No,Sp21 - 001
59,26815,2021-03-30 22:53:00,4,I misunderstood the interpretation regarding what it means when the derivative of a unit is presented.,"I will review what the instananeous rate of change means, and how that is factored in equations when numbers are presented that produce an effect on an object. Previously I have only tried explaining rates of change in the effect they produce.",No,Sp21 - 001
60,62252,2021-04-12 11:19:00,4,I made a mistake with the variables. I incorrectly explained the questions because I swapped the variables for temperature (T) and the dosages amount (q).,I will practice on identifying the variables that are explained in each problem and use the textbook to practice on the exercises on 1.5 before retaking the checkpoint.,No,Sp21 - 001
61,16144,2021-04-13 16:03:00,4,"When I was checking the velocity, there were infinitely many points that I didn't check. I should've found the derivative and used the slope as the average rate of change.",I'll do some problems from 1.1,No,Sp21 - 001
62,96431,2021-04-26 11:23:00,4,I just described the word problem in time rather than temperature,I will pay attention to the variables in word problems more closely,No,Sp21 - 001
63,38873,2021-04-28 22:57:00,4,My picture is to dark for you to see it.,I will find an are with better lighting and try not to block it out with my body,No,Sp21 - 001
64,31085,2021-04-29 09:44:00,4,I did not understand what F and F' meant. I understood what I was supposed to do but the dose and ML and change through me off. But now I understand that F is the change of something and F' is the rate of that change.,I have reviewed both my previous checkpoint 4 attempts and put them together. I also when back and reread interpreting the derivative 1.5. This has been different because I have had another checkpoint to review with feedback to help understand my mistake.,No,Sp21 - 001
65,31085,2021-05-04 09:26:00,4,I misunderstood what f and f' mean. I did not know what the meant and all the other units thew me off when I only had to focus on temperature.,"I reviewed both my failed attempts, what I understand know is that f is the change in something and f' is the rate of change of whatever is changing.",No,Sp21 - 001
66,83943,2021-03-18 08:51:00,4,"1) Simple mistake with the second part of the problem about the average rate of change of a function over a zero over the interval.
 3) Simple mistake when expanding the numerator. Also need to write out the limit at each step.
 4) Using the limit definition for the second part of the problem.",1) I will just review the section in the book to make sure I understand what I am doing.,No,Sp21 - 001
67,67424,2021-02-25 21:03:00,4,I did not understand the third problem asking me to explain the meaning of value 𝑓′(50)=−0.02 which I now know is about how fast the temperature change is changing rather than the sensitivity of the drug.,I reviewed my checkpoint and made corrections that I now understand. I also reviewed in class activities relating to this checkpoint's topics and studied with a friend.,No,Sp21 - 001
68,83943,2021-03-04 10:40:00,4,"3- I think I just started with the wrong set up of the equation so it messed up all of my algebra. 
 4- I messed up the third part of the checkpoint where I was supposed to be talking about instantaneous rate of change.",I am meeting with you and looking over the book and the problems that we have done as group work.,Yes,Sp21 - 001
69,44661,2021-03-05 09:03:00,4,"In Checkpoint 3, I should have remembered that the limit definition sets h=0 so I should have received 2x and not 2x+h. 
 In Checkpoint 4, I should have used the limit definition to determine the velocity of the function, because the velocity can be found through the slope of the tangent line which is given by f'(x).","I will run over the definitions again to make sure I understand and run through some of the Webwork practices to make sure I understand other wording that I didn't catch the first time. Prior to taking the quiz I assumed I understood all the different definitions and did not review them before taking the checkpoints, I instead glanced over the group work activities.",No,Sp21 - 001
70,44661,2021-04-14 10:56:00,4,"(3) I should have remembered that because I was using the limit definition that I needed to write the limit when I analyzed the problem.
 (4) I mixed the idea that temperature is equal to the function of f(q) which means that Temperature will change because it is dependent on the change of the function.
 (6) I did not really understand that a function of xis continuous at x=a if f has a limit as x approaches a and is equal to its function value at x=a and that the function of f(x)=f(a) as the limit of f approaches x
 (11) I wasn't familiarized with the derivative of log_a(x) (which=1/xlna) and the tangent (= sec^2)
 (12) I found the slope but forgot to plug it back in to determine the equation of the tangent line
 (13)I forgot that the derivative of a constant being added or subtracted to x is 0, which gave me the wrong denominator and I should have written the second limit as a quotient by writing it as a positive exponent instead.","For each of the attempts I will make sure to run through the ""cheat"" sheets and rewatch the videos attached to Moodle to make sure I understand each of these checkpoints correctly. I will also double check with the Calc tutors if I have any questions.",No,Sp21 - 001
71,50867,2021-02-23 12:22:00,4,I answered the last question incorrect by not having enough information and used incorrect units,I will study more of the material on derivatives and how to label them,No,Sp21 - 001
72,58151,2021-02-28 14:06:00,4,I accidentally switched the variables (I put 50 where .75 should have been and vise versa),I am going to read the question more carefully and make sure that I am putting numbers in the correct positions.,No,Sp21 - 001
73,16144,2021-03-05 09:17:00,4,"When I tried to find the velocity, I forgot that there are infinitely many points between the two numbers I chose, so I know that when I do it again I will just use the slope of the tangent line to find the greatest velocity.",I'm going to find the slope of tangent lines,No,Sp21 - 001
74,78555,2021-04-21 18:06:00,4,I made the mistake of thinking that when the ball is at it's highest point the velocity is the greatest when it is actually zero. I also didn't explain my answer/thought process I had reaching my conclusion,"review my previous attempt, go over notes, and review the appropriate sections of the text book.",No,Sp21 - 001
75,75683,2021-03-01 08:49:00,5,I put concave up for part A instead of concave down,make sure I know the definition of concave and when it is down or up,No,Sp21 - 001
76,62783,2021-03-04 14:13:00,5,My wording did not make sense in my answers and I got confused regarding the relationship between the function being positive/negative and it's corresponding concavity,"I will go back over previous activities that we did in class, as that is not something that I have done previously. Additionally, I will look back in the book for further information to help prepare.",No,Sp21 - 001
77,57725,2021-03-04 18:19:00,5,I think I have the right idea I just confuse little details.,I would like to meet with Dr Ford or I will meet with tutors to help me.,Yes,Sp21 - 001
78,75683,2021-03-14 20:26:00,5,I got mixed up on what derivative is positive and negative,go back to the text and watch videos for that section,No,Sp21 - 001
79,14772,2021-03-26 11:01:00,5,I incorrectly labeled a concave up point as concave down,I will look specifically at the last two attempts and try and solve them again to understand what I did wrong. I will also look back at team activities for more examples.,No,Sp21 - 001
80,62783,2021-04-22 20:19:00,5,"I didn't word my answers correctly, and mixed up the concavity with whether the function's 2nd derivative was increasing or decreasing","I will review the basics for concavity and how that correlates to whether a function is increasing or decreasing, and look back on the readings and notes more explicitly",No,Sp21 - 001
81,18832,2021-04-27 14:27:00,5,My main misunderstanding in this checkpoint was how the second derivative works and also whether I was able to say something was concave up or down based on the original graph.,I understand now how the second derivative works and I'm also aware that you can just look at the point on the graph and say that it's concave up or concave down.,No,Sp21 - 001
82,38873,2021-04-28 22:53:00,5,I mixed up the concavity of an arc with the peak or valley.,I will remember that it is like a cup soup in the cup concave up soup on the ground concave down.,No,Sp21 - 001
83,46516,2021-05-05 15:12:00,5,I didn't understand how the concavity of f(x) related to the derivative and the second derivative.,I looked up a khan academy for examples to understand how it works as well as going over the text.,No,Sp21 - 001
84,18832,2021-05-07 11:19:00,5,I misunderstood the relationship between a horizontal tangent line and concavity.,I'm going to review concavity and look at the second derivatives and see the relationships between the tangent lines and concavity so that I'm better prepared.,No,Sp21 - 001
85,88009,2021-03-04 19:42:00,5,I misinterpreted the activity of the derivative when it is at zero.,I will read the textbook section more thoroughly.,Yes,Sp21 - 001
86,88009,2021-03-21 15:53:00,5,I misinterpreted the definition of concavity,I will review the definition of concavity,No,Sp21 - 001
87,88009,2021-03-25 17:13:00,5,"Once I corrected a previous mistake with Concavity, I confused myself with the first derivatives.","Drawing out a function on a graph and determining where it is increasing, decreasing and the concavity of the second derivative.",Yes,Sp21 - 001
88,47088,2021-02-28 13:04:00,5,Concave up and down,Revisiting the definitions of concave up and down,No,Sp21 - 001
89,68658,2021-02-28 16:33:00,5,finding and understanding the second derivative,"Office hours and reread the section, look over checkpoint 5",Yes,Sp21 - 001
90,14772,2021-03-18 19:18:00,5,"For checkpoint 5 I did not have my f""(x) drawn right which caused me to determine a point as concave up or down incorrectly. For checkpoint 6 I misunderstood the definition of what makes a graph continuous or not.",I plan on looking over those sections of the book again and watching corresponding videos that cover these topics to better understand how to correct my mistakes and further understand the topics. This will be different than what I have done before because I did not watch the videos before. I will also do some practice problems to check my understanding after reviewing the material.,No,Sp21 - 001
91,62783,2021-03-04 14:19:00,6,"I didn't explain with enough clarity what I meant in my answers, making my work hard to understand. I understood the questions, I just didn't explain/answer them well enough","This time, I will look back over my notes and double check them against the previous activities we've done and past webwork assignments covering these concepts to aid my understanding",No,Sp21 - 001
92,75683,2021-03-04 21:01:00,6,I didn't have the whole definition of what a function needs to be continuous,I already went through the text and revisited the definition of what is need to be continuous,No,Sp21 - 001
93,77508,2021-03-10 17:49:00,6,"When attempting this assignment I did not have any misunderstanding, I am not sure what I got wrong and am unable to return to the question to check",Look over the textbook for the section that I messed up on,Yes,Sp21 - 001
94,75683,2021-03-14 20:27:00,6,I didn't show my actual work for why part 2 was continuous and i messed up my graph since it wasn't continuous,look at continuous graphs and show more work,No,Sp21 - 001
95,16144,2021-03-16 14:00:00,6,I didn't use the right definition for continuous functions,I will study the right definition,No,Sp21 - 001
96,16144,2021-03-25 10:53:00,6,I didn't use the definition in my answer or find what the function was when x = 1.,I will find limits as x approaches a certain point. I didn't do this in the past.,No,Sp21 - 001
97,75683,2021-03-28 21:16:00,6,I have been thinking of the graph completely wrong. The graph needs to be continuous but with a point that is differentiable,I have starting looking back at the text for examples and planing on going to tutoring,No,Sp21 - 001
98,26815,2021-03-30 22:57:00,6,"I now know that derivatives are not needed to represent what makes a function continuous or not. Originally, I thought that a function needs to have a derivative in order to be continuous.","I will read the components and requirements that make a function continuous. Originally, I never practiced problems with different graphs to determine if they were continuous, and now I will.",No,Sp21 - 001
99,26815,2021-03-30 22:57:00,6,"I now know that derivatives are not needed to represent what makes a function continuous or not. Originally, I thought that a function needs to have a derivative in order to be continuous.","I will read the components and requirements that make a function continuous. Originally, I never practiced problems with different graphs to determine if they were continuous, and now I will.",No,Sp21 - 001
100,62783,2021-04-22 20:22:00,6,"I didn't explain clearly enough in the first part of the question how there must be agreement between the limit and the number defined at x=a, and because of that, it caused me to do the other parts of the problem incorrectly","I will review the definition further, and use it correctly to answer the remaining parts of the questions. I will use the readings and notes for support as well",No,Sp21 - 001
101,98539,2021-04-25 21:22:00,6,I drew a function that isn't continuous and I need to show how the conditions prove the function is continuous,I will look at what conditions need to be present for a function to be continuous and I just need to show my work more in depth.,No,Sp21 - 001
102,96431,2021-04-26 11:24:00,6,I am missed a step in solving for continuity,I will revview the rules in solving for continuity,No,Sp21 - 001
103,78555,2021-04-26 11:27:00,6,I skipped steps and didn't show all my work. didn't show what limits were used,"review my first attempt as well as the appropriate sections of the textbook. if need be, rewatch videos on Moodle.",No,Sp21 - 001
104,18832,2021-04-27 20:10:00,6,"What I misunderstood in the checkpoint was that the limit in part 2 had an impact on whether or not the function was continuous. My understanding was that it was continuous because there was only one point that existed at one, while there was an empty circle at that same point. However, it's important to understand the limit in order to know if a graph is continuos or not.",I am going to review the limit definition and make sure that I understand the concept of a continuous graph.,No,Sp21 - 001
105,78555,2021-05-03 14:20:00,6,didn't compare the left and right limits in part 2 or relate them to f(1),review previous two attempts,No,Sp21 - 001
106,62252,2021-05-03 20:58:00,6,I misunderstood the sketch of the graph by adding a tangent line rather than finding the point where the sketch is not differentiable.,"I will make sure to check my sketch to see if the line is continuous, but differentiable from the equations given.",No,Sp21 - 001
107,44661,2021-05-04 09:32:00,6,,,,Sp21 - 001
108,31085,2021-05-04 09:57:00,6,In my definition I said that x there is no lim for 1 because it is differentiable which is false it is then x=a and looks like a V and looks linear when viewed up close.,I reviewed what the definition of being differentiable is because I struggled defining it. I know I can find the lim and know what being continuous is.,No,Sp21 - 001
109,26815,2021-05-05 14:10:00,6,I should have used the limit definition to explain why the function was continuous at the given x value.,Went to an office hour,No,Sp21 - 001
110,83943,2021-05-05 16:12:00,6,"Checkpoint 6 I just misunderstood what I wrote down in my notebook about jumps and holes which have nothing to do with a function to be continuous. 
 Checkpoint 20 I was just confused on what some of the specific parts of the definite integral meant.","I read through the text book and my notes to make sure I understood what continuity means and what makes a function to be continuous. We also talked through the parts of the definite integral in class a couple days ago, so my confusion for some of the parts has been clarified.",No,Sp21 - 001
111,62783,2021-05-05 18:54:00,6,"I misunderstood that there would not be a hole when the one of the functions of x was equal to or greater than one, and the other was true when x was less than one","I think that at this point I will be able to do better if I go over the notes again, and compare them along with review videos. I'm going to do more practice problems as well.",No,Sp21 - 001
112,18832,2021-05-07 11:22:00,6,"I did not explain the limits of the piecewise function in part 2, so I didn't fully support my statement that the graph was continuous.",I'll answer questions completely when I do my checkpoints. I tend to forget to do small questions or completely explain my thought process when I do things sometimes.,No,Sp21 - 001
113,88009,2021-03-09 15:36:00,6,"I didn't review all the definitions from the textbook, I perceived a vertical line as a function.",I will read the section in the textbook more thoroughly.,No,Sp21 - 001
114,44661,2021-04-14 10:56:00,6,"(3) I should have remembered that because I was using the limit definition that I needed to write the limit when I analyzed the problem.
 (4) I mixed the idea that temperature is equal to the function of f(q) which means that Temperature will change because it is dependent on the change of the function.
 (6) I did not really understand that a function of xis continuous at x=a if f has a limit as x approaches a and is equal to its function value at x=a and that the function of f(x)=f(a) as the limit of f approaches x
 (11) I wasn't familiarized with the derivative of log_a(x) (which=1/xlna) and the tangent (= sec^2)
 (12) I found the slope but forgot to plug it back in to determine the equation of the tangent line
 (13)I forgot that the derivative of a constant being added or subtracted to x is 0, which gave me the wrong denominator and I should have written the second limit as a quotient by writing it as a positive exponent instead.","For each of the attempts I will make sure to run through the ""cheat"" sheets and rewatch the videos attached to Moodle to make sure I understand each of these checkpoints correctly. I will also double check with the Calc tutors if I have any questions.",No,Sp21 - 001
